id,ICAO CODE,IATA CODE,AIRPORT NAME,CITY,COUNTRY,Latitude,Longitude
39,CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,47.008,-65.449
40,CYCL,YCL,CHARLO,CHARLO,CANADA,47.991,-66.331
41,CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,67.817,-115.144
42,CYCT,YCT,CORONATION,CORONATION,CANADA,52.075,-111.445
43,CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,49.153,-121.939
44,CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,70.486,-68.517
45,CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,50.332,-115.874
46,CYDA,YDA,DAWSON,DAWSON,CANADA,64.043,-139.128
47,CYDB,YDB,BURWASH,BURWASH,CANADA,61.371,-139.041
48,CYDC,YDC,PRINCETON,PRINCETON,CANADA,49.468,-120.512
49,CYDF,YDF,DEER LAKE,DEER LAKE,CANADA,49.211,-57.391
50,CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,58.422,-130.032
51,CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,51.101,-100.052
52,CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,55.742,-120.182
53,CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,53.667,-113.467
54,CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,53.31,-113.58
55,CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,61.094,-94.071
56,CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,49.21,-102.966
57,CYET,YET,EDSON,EDSON,CANADA,53.579,-116.465
58,CYEU,YEU,EUREKA,EUREKA,CANADA,79.995,-85.813
59,CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,68.304,-133.483
60,CYFB,YFB,IQALUIT,IQALUIT,CANADA,63.756,-68.556
61,CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,45.869,-66.532
62,CYFE,N/A,FORESTVILLE,FORESTVILLE,CANADA,48.746,-69.097
63,CYFO,YFO,FLIN FLON,FLIN FLON,CANADA,54.678,-101.682
64,CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,61.181,-113.69
65,CYFS,YFS,FORT SIMPSON,FORT SIMPSON,CANADA,61.76,-121.237
66,CYGK,YGK,KINGSTON,KINGSTON,CANADA,44.225,-76.597
67,CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,53.625,-77.704
68,CYGP,YGP,GASPE,GASPE,CANADA,48.775,-64.479
69,CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,49.778,-86.939
70,CYGR,YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,CANADA,47.425,-61.778
71,CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,55.283,-77.767
72,CYGX,YGX,GILLAM,GILLAM,CANADA,56.35,-94.7
73,CYHB,YHB,HUDSON BAY,HUDSON BAY,CANADA,52.817,-102.311
74,CYHD,YHD,DRYDEN RGNL,DRYDEN,CANADA,49.832,-92.744
75,CYHI,YHI,HOLMAN,HOLMAN ISLAND,CANADA,70.763,-117.806
76,CYHK,YHK,GJOA HAVEN,GJOA HAVEN,CANADA,68.636,-95.85
77,CYHM,YHM,HAMILTON,HAMILTON,CANADA,43.173,-79.935
78,CYHU,YHU,ST HUBERT,MONTREAL,CANADA,45.517,-73.417
79,CYHY,YHY,HAY RIVER,HAY RIVER,CANADA,60.84,-115.783
80,CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,44.881,-63.509
81,CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,48.774,-91.639
82,CYIO,YIO,POND INLET,POND INLET,CANADA,72.683,-77.967
83,CYJN,YJN,ST JEAN,ST. JEAN,CANADA,45.294,-73.281
84,CYJT,YJT,STEPHENVILLE,STEPHENVILLE,CANADA,48.544,-58.55
85,CYKA,YKA,KAMLOOPS,KAMLOOPS,CANADA,50.702,-120.442
86,CYKF,YKF,WATERLOO RGNL,WATERLOO,CANADA,43.459,-80.384
87,CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,54.805,-66.805
88,CYKY,YKY,KINDERSLEY,KINDERSLEY,CANADA,51.517,-109.181
89,CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,CANADA,43.862,-79.37
90,CYLD,YLD,CHAPLEAU,CHAPLEAU,CANADA,47.82,-83.346
91,CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,CANADA,54.125,-108.523
92,CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,53.309,-110.072
93,CYLT,YLT,ALERT,ALERT,CANADA,82.518,-62.281
94,CYLW,YLW,KELOWNA,KELOWNA,CANADA,49.956,-119.378
95,CYMA,YMA,MAYO,MAYO,CANADA,63.617,-135.867
96,CYMJ,YMJ,MOOSE JAW,MOOSE JAW,CANADA,50.33,-105.559
97,CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,56.653,-111.222
98,CYMO,YMO,MOOSONEE,MOOSONEE,CANADA,51.291,-80.608
99,CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,46.274,-75.99
100,CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,45.68,-74.039
101,CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,50.19,-61.789
102,CYND,YND,GATINEAU,GATINEAU,CANADA,45.521,-75.564
103,CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,49.762,-77.803
104,CYOC,YOC,OLD CROW,OLD CROW,CANADA,67.571,-139.839
105,CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,54.405,-110.279
106,CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,58.621,-117.165
107,CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,45.323,-75.669
108,CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,53.214,-105.673
109,CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,56.227,-117.447
110,CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,49.903,-98.275
111,CYPK,N/A,PITT MEADOWS,PITT MEADOWS,CANADA,49.216,-122.71
112,CYPL,YPL,PICKLE LAKE,PICKLE LAKE,CANADA,51.446,-90.214
113,CYPN,YPN,PORT MENIER,PORT MENIER,CANADA,49.836,-64.289
114,CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,CANADA,44.23,-78.363
115,CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,54.286,-130.445
116,CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,58.767,-111.117
117,CYQA,YQA,MUSKOKA,MUSKOKA,CANADA,44.975,-79.303
118,CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,46.788,-71.398
119,CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,52.179,-113.893
120,CYQG,YQG,WINDSOR,WINDSOR,CANADA,42.276,-82.956
121,CYQH,YQH,WATSON LAKE,WATSON LAKE,CANADA,60.118,-128.822
122,CYQK,YQK,KENORA,KENORA,CANADA,49.788,-94.363
123,CYQL,YQL,LETHBRIDGE,LETHBRIDGE,CANADA,49.63,-112.8
124,CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,46.112,-64.679
125,CYQN,N/A,NAKINA,NAKINA,CANADA,50.183,-86.696
126,CYQQ,YQQ,COMOX,COMOX,CANADA,49.711,-124.887
127,CYQR,YQR,REGINA INTERNATIONAL,REGINA,CANADA,50.432,-104.666
128,CYQT,YQT,THUNDER BAY,THUNDER BAY,CANADA,48.372,-89.324
129,CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,55.18,-118.885
130,CYQV,YQV,YORKTON MUNI,YORKTON,CANADA,51.265,-102.462
131,CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,52.769,-108.244
132,CYQX,YQX,GANDER INTERNATIONAL,GANDER,CANADA,48.937,-54.568
133,CYQY,YQY,SYDNEY,SYDNEY,CANADA,46.161,-60.048
134,CYQZ,YQZ,QUESNEL,QUESNEL,CANADA,53.026,-122.51
135,CYRB,YRB,RESOLUTE BAY,RESOLUTE,CANADA,74.717,-94.969
136,CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,47.764,-69.585
137,CYRJ,YRJ,ROBERVAL,ROBERVAL,CANADA,48.52,-72.266
